"Freq [GHz]","Phi [deg]","Theta [deg]","GainTotal []"
60,-168,94,1.77146949667421
60,-168,96,1.64812216364443
60,-168,98,1.53945618464697
60,-168,100,1.44267812594397
60,-168,102,1.3551200639944
60,-168,104,1.27431297020414
60,-168,106,1.19806263703992
60,-168,108,1.12452858059889
60,-168,110,1.05230112476499
60,-168,112,0.980466434259696
60,-168,114,0.908644711398241
60,-168,116,0.836984577332999
60,-168,118,0.766098435877336
60,-168,120,0.696930648276775
60,-168,122,0.630562932519999
60,-168,124,0.567978209534675
60,-168,126,0.50982181097962
60,-168,128,0.456212416433852
60,-168,130,0.406658436689228
60,-168,132,0.360123991595093
60,-168,134,0.315260489185868
60,-168,136,0.270778262127154
60,-168,138,0.225886185837682
60,-168,140,0.180688177648081
60,-168,142,0.13640783210248
60,-168,144,0.0953279590782905
60,-168,146,0.0603865058866982
60,-168,148,0.0344610858512341
60,-168,150,0.0194854827270492
60,-168,152,0.0156430965452646
60,-168,154,0.0209324674475041
60,-168,156,0.0313558173551606
60,-168,158,0.0418199392940675
60,-168,160,0.047581892141508
60,-168,162,0.0458016137517558
60,-168,164,0.0366060933487095
60,-168,166,0.0231433013546971
60,-168,168,0.0104445990176118
60,-168,170,0.00342191466182646
60,-168,172,0.00477786183078434
60,-168,174,0.0137540138239855
60,-168,176,0.0263508411319872
60,-168,178,0.037008594382503
60,-168,180,0.0410374861422649
60,-166,0,7.36752269720022
60,-166,2,7.29381172428749
60,-166,4,7.06470068116701
60,-166,6,6.69387884899529
60,-166,8,6.20060050224557
60,-166,10,5.60531894407696
60,-166,12,4.92738474303697
60,-166,14,4.18606371252708
60,-166,16,3.40427267831262
60,-166,18,2.61287309159163
60,-166,20,1.85288804485576
60,-166,22,1.17381320276097
60,-166,24,0.627838895421331
60,-166,26,0.26149561267979
60,-166,28,0.10724417166921
60,-166,30,0.177506057987158
60,-166,32,0.462700840067595
60,-166,34,0.933502034551466
60,-166,36,1.54629983550569
