"Freq [GHz]","Phi [deg]","Theta [deg]","GainTotal []"
4.5,-172,24,2.4765630070325
4.5,-172,26,2.44247737371605
4.5,-172,28,2.40138352106691
4.5,-172,30,2.35388251357269
4.5,-172,32,2.30061850593861
4.5,-172,34,2.24226527398752
4.5,-172,36,2.1795130694869
4.5,-172,38,2.11305612781668
4.5,-172,40,2.04358110709822
4.5,-172,42,1.97175668131729
4.5,-172,44,1.89822445117286
4.5,-172,46,1.82359127774006
4.5,-172,48,1.74842308807774
4.5,-172,50,1.67324015072286
4.5,-172,52,1.59851377418053
4.5,-172,54,1.52466434410282
4.5,-172,56,1.45206058541284
4.5,-172,58,1.3810199142723
4.5,-172,60,1.31180973121352
4.5,-172,62,1.24464950034624
4.5,-172,64,1.17971345945526
4.5,-172,66,1.11713381102383
4.5,-172,68,1.05700425367476
4.5,-172,70,0.999383726130333
4.5,-172,72,0.944300250518595
4.5,-172,74,0.891754777752889
4.5,-172,76,0.841724953957044
4.5,-172,78,0.794168742813676
4.5,-172,80,0.749027853731402
4.5,-172,82,0.706230939454224
4.5,-172,84,0.665696538899348
4.5,-172,86,0.627335751452616
4.5,-172,88,0.59105463761841
4.5,-172,90,0.556756347841864
4.5,-172,92,0.524342986589367
4.5,-172,94,0.493717222532209
4.5,-172,96,0.464783658105786
4.5,-172,98,0.437449973013362
4.5,-172,100,0.411627856620788
4.5,-172,102,0.387233743861978
4.5,-172,104,0.364189368455774
4.5,-172,106,0.342422146125784
4.5,-172,108,0.321865399304997
4.5,-172,110,0.302458433668352
4.5,-172,112,0.28414647591987
4.5,-172,114,0.266880481692839
4.5,-172,116,0.250616822299524
4.5,-172,118,0.235316859456593
4.5,-172,120,0.220946418042996
4.5,-172,122,0.207475168408029
4.5,-172,124,0.194875931685932
4.5,-172,126,0.183123923893203
4.5,-172,128,0.172195957146567
4.5,-172,130,0.162069618964326
4.5,-172,132,0.152722453089115
4.5,-172,134,0.144131167359844
4.5,-172,136,0.136270895617411
4.5,-172,138,0.129114541210563
4.5,-172,140,0.122632229156067
4.5,-172,142,0.11679089222532
4.5,-172,144,0.111554013064507
4.5,-172,146,0.10688153987456
4.5,-172,148,0.102729987242536
4.5,-172,150,0.0990527265926456
4.5,-172,152,0.0958004626831123
4.5,-172,154,0.0929218839821864
4.5,-172,156,0.0903644660627559
4.5,-172,158,0.0880753988674605
4.5,-172,160,0.0860026013471659
4.5,-172,162,0.0840957810844109
4.5,-172,164,0.08230749254539
4.5,-172,166,0.0805941459303873
4.5,-172,168,0.0789169194543865
4.5,-172,170,0.0772425313696264
4.5,-172,172,0.0755438340478979
4.5,-172,174,0.0738002007017518
4.5,-172,176,0.0719976854030143
4.5,-172,178,0.0701289483757805
4.5,-172,180,0.0681929504192403
4.5,-170,0,2.22951090171359
4.5,-170,2,2.29273775806156
4.5,-170,4,2.34867282146361
4.5,-170,6,2.39678015420298
4.5,-170,8,2.43662342163076
4.5,-170,10,2.46787361162432
4.5,-170,12,2.49031414043174
4.5,-170,14,2.50384323121918
4.5,-170,16,2.50847355076862
4.5,-170,18,2.5043291869644
4.5,-170,20,2.49164014033708
4.5,-170,22,2.47073458291183
4.5,-170,24,2.4420292036063
4.5,-170,26,2.40601800903547
4.5,-170,28,2.36325998042487
4.5,-170,30,2.31436600106255
4.5,-170,32,2.25998546497603
4.5,-170,34,2.20079295781374
4.5,-170,36,2.13747536746438
4.5,-170,38,2.07071973749598
4.5,-170,40,2.00120212408161
4.5,-170,42,1.92957765983711
4.5,-170,44,1.85647196897497
4.5,-170,46,1.78247402016353
4.5,-170,48,1.70813044888001
4.5,-170,50,1.63394133179509
4.5,-170,52,1.56035735324757
4.5,-170,54,1.48777826906139
4.5,-170,56,1.41655254622686
4.5,-170,58,1.34697803827344
4.5,-170,60,1.279303545089
4.5,-170,62,1.21373110178284
4.5,-170,64,1.15041884303284
4.5,-170,66,1.08948429616118
4.5,-170,68,1.03100796685772
4.5,-170,70,0.97503709493946
4.5,-170,72,0.921589472786917
4.5,-170,74,0.870657235226297
4.5,-170,76,0.822210545849797
4.5,-170,78,0.776201120445987
4.5,-170,80,0.732565542852724
4.5,-170,82,0.691228341788839
4.5,-170,84,0.652104808837412
4.5,-170,86,0.61510354762376
4.5,-170,88,0.580128752330211
4.5,-170,90,0.547082220068381
4.5,-170,92,0.515865106397739
4.5,-170,94,0.486379436589222
4.5,-170,96,0.458529387265823
4.5,-170,98,0.432222354006992
4.5,-170,100,0.407369820586513
4.5,-170,102,0.383888044930654
4.5,-170,104,0.361698575836015
4.5,-170,106,0.340728613165649
4.5,-170,108,0.32091122282593
4.5,-170,110,0.302185416476871
4.5,-170,112,0.284496104788135
4.5,-170,114,0.267793932242609
4.5,-170,116,0.252035001105032
4.5,-170,118,0.237180492282119
4.5,-170,120,0.223196191438226
4.5,-170,122,0.210051929896562
4.5,-170,124,0.197720951511881
4.5,-170,126,0.186179218767437
4.5,-170,128,0.175404673707767
4.5,-170,130,0.165376471811828
4.5,-170,132,0.156074209346748
4.5,-170,134,0.147477166903888
4.5,-170,136,0.139563593473747
4.5,-170,138,0.132310056331716
4.5,-170,140,0.125690881965853
4.5,-170,142,0.119677712098085
4.5,-170,144,0.114239196402009
4.5,-170,146,0.109340839745279
4.5,-170,148,0.104945016709216
4.5,-170,150,0.10101115988581
4.5,-170,152,0.0974961212448569
4.5,-170,154,0.0943546980197024
4.5,-170,156,0.0915403064799717
4.5,-170,158,0.0890057791071926
4.5,-170,160,0.0867042535611665
4.5,-170,162,0.0845901159168664
4.5,-170,164,0.0826199564193913
4.5,-170,166,0.0807534938254022
4.5,-170,168,0.0789544245365932
4.5,-170,170,0.0771911553038901
4.5,-170,172,0.0754373832476315
4.5,-170,174,0.0736724940873598
4.5,-170,176,0.0718817584317122
4.5,-170,178,0.0700563162306469
4.5,-170,180,0.0681929504192404
4.5,-168,0,2.22951090171359
